livestream_id,member_id,member_name,date,start_timestamp,fist_seen_timestamp,last_seen_timestamp
5a0996c70cf2f11fcb83bd00,607591,吴羽霏,2017-11-13,1510577863724,1510578001000,1510578001000
5a0c36ee0cf2731c2191b77d,607591,吴羽霏,2017-11-15,1510749934814,1510750201000,1510750201000
5a0ef5d40cf27491f39f732a,607591,吴羽霏,2017-11-17,1510929876119,1510930201000,1510930201000
5a118e0e0cf2f738c05bdbbd,607591,吴羽霏,2017-11-19,1511099918840,1511100001000,1511100001000
5a12c4f60cf2f738c05bdbd0,607591,吴羽霏,2017-11-20,1511179510090,1511179801000,1511179801000
5a12d1be0cf2f738c05bdbd9,607591,吴羽霏,2017-11-20,1511182782790,1511182801000,1511182801000
5a143fcf0cf2f738c05bdc1d,607591,吴羽霏,2017-11-21,1511276495324,1511277001000,1511277001000
5a1587670cf2b9e38360e958,607591,吴羽霏,2017-11-22,1511360359653,1511360401000,1511360401000
5a1829d90cf2c9133b780a73,607591,吴羽霏,2017-11-24,1511533017054,1511533201000,1511533201000
5a1c29640cf2b9e38360ea16,607591,吴羽霏,2017-11-27,1511795044438,1511795401000,1511795401000
5a1d651a0cf267aa15bbcd61,607591,吴羽霏,2017-11-28,1511875866302,1511876401000,1511876401000
5a22a68b0cf22cb63c236148,607591,吴羽霏,2017-12-02,1512220299397,1512220801000,1512220801000
5a254a080cf22cb63c2361b2,607591,吴羽霏,2017-12-04,1512393224790,1512393601000,1512393601000
5a27f0030cf2f4a2f17eae22,607591,吴羽霏,2017-12-06,1512566787120,1512567001000,1512567001000
5a3513540cf2c2d91d70bcbc,607591,吴羽霏,2017-12-16,1513427796187,1513428001000,1513428001000
5a3d1e560cf2414183ce0193,607591,吴羽霏,2017-12-22,1513954902841,1513955401000,1513955401000
5a3fabbd0cf2016a8404469c,607591,吴羽霏,2017-12-24,1514122173677,1514122201000,1514122201000
5a3faf060cf2016a8404469f,607591,吴羽霏,2017-12-24,1514123014029,1514123401000,1514123401000
5a3fb9360cf2016a840446aa,607591,吴羽霏,2017-12-24,1514125622415,1514125801000,1514125801000
5a4250d80cf2414183ce024b,607591,吴羽霏,2017-12-26,1514295512927,1514295601000,1514295601000
5a4a48d40cf2414183ce0347,607591,吴羽霏,2018-01-01,1514817748789,1514818201000,1514818201000
